City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
hartebeesfontein,Hartebeesfontein,Eastern Cape,-31.633333,26.166667,5
hartebeesfontein,Hartebeesfontein,Limpopo,-24.561515,28.076197,9
hartebeesfontein,Hartebeesfontein,North West,-26.889675,26.806962,10
hartebeeskop,Hartebeeskop,Mpumalanga,-26.183333,30.933333,7
hartebeeskraal,Hartebeeskraal,Western Cape,-33.767299,19.003749,11
hartebeesnek,Hartebeesnek,Eastern Cape,-31.966667,26.7,5
hartebeespoort,Hartebeespoort,Limpopo,-24.514489,28.084703,9
hartebeesrivier,Hartebeesrivier,Western Cape,-34.366667,19.516667,11
hartebeestfontein,Hartebeestfontein,North West,-26.765659,26.420241,10
hartebeestkop,Hartebeestkop,Mpumalanga,-26.183333,30.933333,7
hartebeestkraal,Hartebeestkraal,Western Cape,-33.767299,19.003749,11
hartebeestpoort,Hartebeestpoort,North West,-25.733333,27.85,10
hartebeest rivier,Hartebeest Rivier,Western Cape,-34.366667,19.516667,11
hartebeestspruit,Hartebeestspruit,Mpumalanga,-26.7,30.15,7
hartebeest vlakte,Hartebeest Vlakte,Northern Cape,-28.75,21.566667,8
hartelus,Hartelus,Mpumalanga,-25.266667,29.833333,7
hartenbos,Hartenbos,Western Cape,-34.130523,22.112901,11
hartlea,Hartlea,KwaZulu Natal,-29.9,29.383333,2
hartsdale,Hartsdale,Eastern Cape,-31.379367,28.269888,5
hartsenbergfontein,Hartsenbergfontein,Gauteng,-26.397421,27.956029,6
harts river,Harts River,North West,-26.8,25.55,10
hartsrivier,Hartsrivier,North West,-26.8,25.55,10
hartswater,Hartswater,Northern Cape,-27.749639,24.797115,8
hartzenbergfontein,Hartzenbergfontein,Gauteng,-26.397421,27.956029,6
hasana,Hasana,Limpopo,-23.090954,30.477819,9
ha-sefoko,Ha-Sefoko,Eastern Cape,-30.404078,28.360523,5
hasetati,Hasetati,Eastern Cape,-30.454433,28.516239,5
hatchleydene,Hatchleydene,Eastern Cape,-32.643075,28.166121,5
hatchley,Hatchley,Eastern Cape,-32.643075,28.166121,5
hatfield,Hatfield,Gauteng,-25.749728,28.243141,6
hatherley,Hatherley,Gauteng,-25.733333,28.366667,6
hatherly,Hatherly,Gauteng,-25.733333,28.366667,6
ha-tlhakanelo,Ha-Tlhakanelo,Eastern Cape,-30.240377,28.435974,5
hattingspruit,Hattingspruit,KwaZulu Natal,-28.079052,30.125204,2
hauptsrus,Hauptsrus,North West,-26.55,26.283333,10
hauptsrust,Hauptsrust,North West,-26.55,26.283333,10
hawston,Hawston,Western Cape,-34.386345,19.130989,11
hayfield,Hayfield,Free State,-29.098734,26.942266,3
hay paddock,Hay Paddock,KwaZulu Natal,-29.616667,30.416667,2
